component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
你好,/users12/zrchen/yongyou/knowledge_base/新建知识库/vector_store,/users12/zrchen/yongyou/flagged/component 2/tmpj0bgtka3.json,知识库问答,,2004811e2f254bae8896d6f784489304,2023-07-09 10:47:47.294763
绿地集团怎么样,/users12/zrchen/yongyou/knowledge_base/house_data_FAISS_20230618_100537/vector_store,/users12/zrchen/yongyou/flagged/component 2/tmpyhp8xkmf.json,知识库问答,,2004811e2f254bae8896d6f784489304,2023-07-09 10:49:54.444396
hello,/users12/zrchen/yongyou/knowledge_base/house_data_FAISS_20230618_100537/vector_store,/users12/zrchen/yongyou/flagged/component 2/tmpudwjqlrx.json,LLM 对话,,2004811e2f254bae8896d6f784489304,2023-07-09 10:50:07.064185
雅居乐集团建筑面积,/home/zrchen/yongyou/knowledge_base/新建知识库/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp7qv_n4jm.json,知识库问答,,6ffd102e68be4bf4be877479a5684f58,2023-07-25 15:44:51.440642
雅居乐集团占地面积,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230725_153013/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp_6ccxnkk.json,知识库问答,,966625c219cb41f78bc873e37712ba4d,2023-07-25 15:50:44.055364
雅居乐占地面积,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230725_153013/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp_hfn8yjh.json,知识库问答,,369c98b2cb6c4f8b9fb27d9d0f664ecd,2023-07-25 16:30:03.329880
雅居乐占地面积,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230725_153013/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpi0c0n_2p.json,知识库问答,,369c98b2cb6c4f8b9fb27d9d0f664ecd,2023-07-25 16:32:26.243613
介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230725_180053/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp07ow3ydu.json,知识库问答,,741f2a15f9174ebfbe8334651ea65a85,2023-07-26 10:42:00.197908
介绍雅居乐,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230725_180053/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpknf69bfh.json,知识库问答,,741f2a15f9174ebfbe8334651ea65a85,2023-07-26 10:43:43.618748
雅居乐集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230725_180053/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpzzp1_ptk.json,知识库问答,,741f2a15f9174ebfbe8334651ea65a85,2023-07-26 10:44:15.503186
绿地集团主要从事哪些领域？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230725_180053/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpokxzjnxw.json,知识库问答,,741f2a15f9174ebfbe8334651ea65a85,2023-07-26 10:46:49.213992
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmprp6jnnwg.json,知识库问答,,67e52c031a834accad143dfe6f8ec581,2023-07-31 10:57:22.635973
绿地集团占地面积为多少？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpqsyitpy_.json,知识库问答,,67e52c031a834accad143dfe6f8ec581,2023-07-31 10:59:06.148984
请介绍绿地集团。,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpgijzm2gc.json,知识库问答,,1d59048a5ddc4cef95f47395637a97bb,2023-07-31 11:05:50.282484
绿地控股 2015-2018 年年平均竣工面积约为多少？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpkr5lhgi6.json,知识库问答,,1d59048a5ddc4cef95f47395637a97bb,2023-07-31 11:06:35.153559
请介绍绿地集团。,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp12uvhc_1.json,知识库问答,,1d59048a5ddc4cef95f47395637a97bb,2023-07-31 11:07:55.712614
绿地控股 2015-2018 年年平均竣工面积约为多少？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp_vux0a8b.json,知识库问答,,1d59048a5ddc4cef95f47395637a97bb,2023-07-31 11:08:11.153681
雅居乐集团合约销售面积 2013-2018 年复合增速约为多少,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp4n9ockf7.json,知识库问答,,1d59048a5ddc4cef95f47395637a97bb,2023-07-31 11:08:41.137810
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpnp35ulmx.json,知识库问答,,22c03dcf93fd4012bce423a22a6f268a,2023-07-31 11:20:26.785351
 2017、2018 和 2019H1 来自绿地控股的在管面积分别为多少？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp415b8bdw.json,知识库问答,,22c03dcf93fd4012bce423a22a6f268a,2023-07-31 11:22:11.398821
绿地集团连续多少年入选《财富》世界500强,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230730_182235/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpdn191gav.json,知识库问答,,22c03dcf93fd4012bce423a22a6f268a,2023-07-31 11:23:11.795694
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpeq64hovn.json,知识库问答,,4a042491a810497c9f5ca60967113ce4,2023-08-01 16:38:46.495279
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp64g0ast9.json,知识库问答,,4a042491a810497c9f5ca60967113ce4,2023-08-01 16:54:13.497143
请介绍绿地集团,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpvvknlcge.json,知识库问答,,4a042491a810497c9f5ca60967113ce4,2023-08-01 16:55:40.502582
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/新建知识库/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpqq3jrycb.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:25:13.951963
绿地集团成立于1998年，以及依据,/home/zrchen/yongyou/knowledge_base/新建知识库/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpyn8p7eee.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:25:26.200431
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpli5aiyqa.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:25:46.035310
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpo35fafe7.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:26:35.846916
绿地集团成立于哪一年？给出答案以及你进行判断的依据,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmprkoxbm6v.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:27:25.140092
上海省会是哪里？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpbq0w1j5k.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:27:45.917003
你好,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp1ms45tt6.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:28:00.139605
你好,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_144624/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp1c95nq__.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:29:10.894495
你好,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_144624/vector_store,/home/zrchen/yongyou/flagged/component 2/tmp0qai76lq.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:29:40.453078
上海省会是哪里？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_144624/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpigc52a2_.json,知识库问答,,5c3925e9e90f47d2906a0dae2aff8c60,2023-08-28 16:29:50.086323
绿地集团成立于哪一年？,/home/zrchen/yongyou/knowledge_base/house_data_FAISS_20230801_155810/vector_store,/home/zrchen/yongyou/flagged/component 2/tmpdovkdce8.json,知识库问答,,6ed95c94c88b4e4c8a60a617d59dbea2,2023-08-28 16:31:43.477866
